Candidate,Source,Date,Score
Clinton,cnn.com,2016-09-19,0.0569561983
Clinton,cnn.com,2016-09-21,-0.16126762139999998
Clinton,cnn.com,2016-09-22,-0.18223441837368423
Clinton,cnn.com,2016-09-23,-0.12302781537037036
Clinton,cnn.com,2016-09-24,0.02148164744166668
Clinton,cnn.com,2016-09-26,-0.0847474023444643
Clinton,cnn.com,2016-09-27,-0.2246715209092683
Clinton,cnn.com,2016-09-28,-0.18190812360031253
Clinton,cnn.com,2016-09-30,0.015004823592307695
Clinton,cnn.com,2016-10-01,-0.11231090540909093
Clinton,cnn.com,2016-10-02,-0.14301894231444442
Clinton,cnn.com,2016-10-03,-0.22455751552380956
Clinton,cnn.com,2016-10-04,-0.1531791813169811
Clinton,cnn.com,2016-10-05,-0.17150533533333334
Clinton,cnn.com,2016-10-07,-0.20682718582413795
Clinton,democraticunderground.com,2016-08-15,-0.380071014
Clinton,democraticunderground.com,2016-08-17,-0.16069040364166667
Clinton,democraticunderground.com,2016-08-18,-0.25862962044166665
Clinton,democraticunderground.com,2016-08-19,-0.3434968329875
Clinton,democraticunderground.com,2016-08-20,-0.07935868052
Clinton,democraticunderground.com,2016-08-21,-0.352339
Clinton,democraticunderground.com,2016-08-24,-0.0436398365
Clinton,democraticunderground.com,2016-08-25,-0.016309510924999996
Clinton,democraticunderground.com,2016-08-26,-0.0350556001
Clinton,democraticunderground.com,2016-08-27,-0.22917724025
Clinton,democraticunderground.com,2016-08-29,0.004103434147500001
Clinton,democraticunderground.com,2016-08-30,-0.07284077248750001
Clinton,democraticunderground.com,2016-08-31,-0.31100421194199995
Clinton,democraticunderground.com,2016-09-01,-0.22771642124400002
Clinton,democraticunderground.com,2016-09-05,-0.23731210213636364
Clinton,democraticunderground.com,2016-09-06,-0.3853662425
Clinton,democraticunderground.com,2016-09-07,-0.08831364991663333
Clinton,democraticunderground.com,2016-09-08,-0.16141128332
Clinton,democraticunderground.com,2016-09-09,-0.14972642234
Clinton,democraticunderground.com,2016-09-11,-0.0810121968
Clinton,democraticunderground.com,2016-09-12,-0.29328658255384615
Clinton,democraticunderground.com,2016-09-13,-0.2241069259529412
Clinton,democraticunderground.com,2016-09-14,-0.23216439044999995
Clinton,democraticunderground.com,2016-09-15,-0.17489872288
Clinton,democraticunderground.com,2016-09-16,-0.2493407332083334
Clinton,democraticunderground.com,2016-09-17,-0.0808177963
Clinton,democraticunderground.com,2016-09-18,0.009398664000000001
Clinton,democraticunderground.com,2016-09-20,-0.12432057927857143
Clinton,democraticunderground.com,2016-09-21,-0.11492767598666666
Clinton,democraticunderground.com,2016-09-22,-0.24252975940757143
Clinton,democraticunderground.com,2016-09-25,-0.06583441705000002
Clinton,democraticunderground.com,2016-09-26,-0.19029950550000002
Clinton,democraticunderground.com,2016-09-27,-0.11588411770588235
Clinton,democraticunderground.com,2016-09-28,-0.15984782608235296
Clinton,democraticunderground.com,2016-09-29,-0.273129383995
Clinton,democraticunderground.com,2016-09-30,-0.12849819799444445
Clinton,democraticunderground.com,2016-10-01,-0.11279321835625
Clinton,democraticunderground.com,2016-10-02,-0.128431479911
Clinton,democraticunderground.com,2016-10-03,-0.25151412352
Clinton,democraticunderground.com,2016-10-04,-0.007302937761999995
Clinton,foxnews.com,2016-08-16,-0.42878980640000003
Clinton,foxnews.com,2016-08-18,-0.37131699640000004
Clinton,foxnews.com,2016-08-19,-0.21798907525555555
Clinton,foxnews.com,2016-08-20,-0.27996555205
Clinton,foxnews.com,2016-08-21,-0.27396480744545454
Clinton,foxnews.com,2016-08-22,-0.16766298085999998
Clinton,foxnews.com,2016-08-23,-0.19766513093333335
Clinton,foxnews.com,2016-08-24,-0.22781521394999998
Clinton,foxnews.com,2016-08-26,-0.3037300720125
Clinton,foxnews.com,2016-08-28,-0.23018184103333336
Clinton,foxnews.com,2016-08-30,-0.20037410192857144
Clinton,foxnews.com,2016-08-31,-0.2598392527117647
Clinton,foxnews.com,2016-09-01,-0.1558929759230769
Clinton,foxnews.com,2016-09-02,-0.309504823675
Clinton,foxnews.com,2016-09-05,-0.38207550300000004
Clinton,foxnews.com,2016-09-06,-0.18556044179583334
Clinton,foxnews.com,2016-09-07,-0.2866454036631579
Clinton,foxnews.com,2016-09-08,-0.213367
Clinton,foxnews.com,2016-09-09,-0.18623846044
Clinton,foxnews.com,2016-09-10,-0.35986400399999996
Clinton,foxnews.com,2016-09-13,-0.3408990055
Clinton,foxnews.com,2016-09-14,-0.19109580817
Clinton,foxnews.com,2016-09-15,-0.23911043160833334
Clinton,foxnews.com,2016-09-16,-0.182394547
Clinton,foxnews.com,2016-09-17,-0.16524697655
Clinton,foxnews.com,2016-09-18,-0.1850845065
Clinton,foxnews.com,2016-09-19,-0.430142999
Clinton,foxnews.com,2016-09-21,-0.2679931618333333
Clinton,foxnews.com,2016-09-22,-0.257597326782353
Clinton,foxnews.com,2016-09-23,-0.11055761826666667
Clinton,foxnews.com,2016-09-24,-0.14150671723
Clinton,foxnews.com,2016-09-26,-0.09178589899600001
Clinton,foxnews.com,2016-09-27,-0.12609620151071427
Clinton,foxnews.com,2016-09-28,-0.32165080300000004
Clinton,foxnews.com,2016-09-30,-0.2244313668
Clinton,foxnews.com,2016-10-01,-0.3497339997142857
Clinton,foxnews.com,2016-10-02,-0.2690544562727273
